id,speakers,isoda,tokens,tags
835,TL,Rufen,UAV-Operator für Teamleader kommen,4
836,UAV,Rufen,UAV-Operator ja?,5
837,TL,Anfordern,fliegen Sie mit der Drohne über den linken Hochofen oberste Höhe,1
838,TL,Anfordern,und dann ein Foto senden,1
839,UAV,Auto-postiv,okay,7
840,TL,Anruf akzeptieren,Operator Boden 2,4
841,TL,Anfordern,können Sie ein Bild senden?,3
842,UGV-2,Anruf akzeptieren,hier Operator Boden 2,5
843,UGV-2,Informieren,momentan kann ich keine Bilder senden,0
844,MC,Rufen,Teamleader von Mission Commander,4
845,TL,Anruf akzeptieren,hier Teamleader,5
846,MC,Informieren,auf einem der Fotos sind Rauchentwicklungen zu erkennen,2
847,MC,Frage,wie ist der Status Ihrer Bodenroboter beziehungsweise der Standort?,3
848,MC,Situationsfrage,ist es möglich die Quelle der Rauchentwicklung mit dem Bodenroboter zu finden?,3
849,UGV-1,Rufen,Teamleader zu Bodenoperator 1 kommen,4
850,TL,Anruf akzeptieren,Bodenoperator 1 sprechen,5
851,UGV-1,Anfordern,Leckage entdeckt über Bodenroboter,2
852,TL,Auto-postiv,sehr gut,2
853,TL,Anfordern,einmal ein Foto machen,1
854,UGV-1,Task akzeptieren,ich versuch' das mal,7
855,UAV,Rufen,UAV Operator,4
856,UAV,Informieren,wir haben uns den Hochofen jetzt von oben angeguckt es ist nirgendwo ein Opfer zu sehen,2
857,TL,Informieren,ist von oben Verrauchung zu sehen?,3
858,UAV,Anruf akzeptieren,ja,7
859,TL,Anfordern,dann bitte einmal ein Foto davon und wieder landen,1
860,UAV,Auto-postiv,okay,7
861,TL,Rufen,Mission Commander für Teamleader,4
862,MC,Anruf akzeptieren,Mission Commander hört,5
863,TL,Informieren,der Operator Boden 1 hat eine Leckage entdeckt,2
864,TL,Informieren,das ist auf der ersten Etage und man könnte von hier unten einen Löscheingriff aufbauen und das Ganze eingrenzen,2
865,MC,Anruf akzeptieren,ja,2
866,MC,Anfordern,dann überstelle ich Ihnen einen Trupp der sich auf der entgegengesetzten Seite auf der Brücke bereitet,2
867,MC,Anfordern,bitte über Kanal 53WU ansprechen,1
868,TL,Auto-postiv,ja verstanden,7
869,UGV-1,Rufen,Teamleader von Bodenoperator 1,4
870,TL,Anruf akzeptieren,hier Teamleader,5
871,UGV-1,Informieren,'s ist technisch nicht möglich Bilder zu senden,2
872,TL,Auto-postiv,ja verstanden,2
873,MC,Rufen,Teamleader von Mission Commander kommen,4
874,TL,Rufen,Mission Commander für Teamleader,4
875,MC,Anruf akzeptieren,Mission Commander hört,5
876,TL,Situationsfrage,Sie hatten was?,3
877,MC,Anruf akzeptieren,ja,7
878,MC,Situationsfrage,gibt es eine Information über die Substanz die dort austritt?,3
879,TL,Rufen,ja von Operator Boden 1,7
880,TL,Rufen,Operator Boden 1 für Teamleader kommen,4
881,UGV-1,Anruf akzeptieren,Operator Boden 1 hört,5
882,TL,Situationsfrage,was hatten Sie?,3
883,UGV-1,Informieren,die ausströmende Flüssigkeit ist ein dichter weißlicher Nebel Flüssigkeit unbekannt,2
884,TL,Auto-postiv,alles klar,2
885,TL,Situationsfrage,ist es möglich ein Foto von dem Fass zu machen was daneben steht?,3
886,UGV-1,Informieren,weiterhin technisch nicht möglich Fotos zu senden,0
887,TL,Auto-postiv,gut,2
888,TL,Rufen,Mission Commander für Teamleader kommen,4
889,MC,Anruf akzeptieren,Mission Commander hört,5
890,TL,Informieren,ein Trupp ist in der Nähe dort wo auch der Operator Boden 1 seinen Roboter hat und hat dort ein Fass entdeckt in Grün und ein weiteres Fass mit einer Plakette drauf - ätzend - in Gelb und braucht weitere Unterstützung,2
891,TL,Anbieten,ich fordere weitere Kräfte an,2
892,MC,Auto-postiv,okay dann ändern wir Einsatzstichwort auf technische Hilfe ABC,2
893,MC,Anfordern,versuchen Sie mit hilfe der Bodenroboter die Substanzen herauszufinden,1
894,MC,Frage,oder ob es möglich ist die Leckage abzudichten,1
895,TL,Auto-postiv,ja verstanden,7
896,TL,Rufen,Mission Commander für Teamleader,4
897,MC,Anruf akzeptieren,Mission Commander hört,5
898,TL,Informieren,draußen steht ein Löschzug mit Blaulicht,2
899,TL,Task akzeptieren,soll ich die mal ansprechen? nicht dass sie wegen dem Rauch hier stehen,3
900,MC,Task akzeptieren,ja auf jeden Fall mach das mal,7
901,TL,Auto-postiv,alles klar,2
902,TL,Informieren,es kommt jetzt hier ein Gruppenführer,2
903,TL,Task akzeptieren,Übungende,1
904,TL,Task akzeptieren,für alle: Übungende,1
905,UAV,Auto-postiv,okay,7
906,UGV-2,Auto-postiv,okay,7
907,TL,Rufen,Bodenoperator für Teamleader kommen,4
908,TL,Rufen,Bodenoperator 1 für Teamleader,4
909,UGV-1,Anruf akzeptieren,Bodenoperator 1 hört,5
910,TL,Informieren,wir können jetzt gleich starten die Drohne ist bereit,2
911,TL,Rufen,Bodenoperator 2 für Teamleader kommen,4
912,TL,Rufen,Bodenoperator 2 für Teamleader kommen,4
913,UGV-2,Anruf akzeptieren,hier Bodenoperator 2,5
914,TL,Auto-postiv,Verständigung einwandfrei,3
915,UGV-2,Auto-postiv,ja ich verstehe Sie,7
916,TL,Auto-postiv,gut,2
917,TL,Rufen,Drohnenoperator für Teamleader kommen,4
918,TL,Rufen,Drohnenoperator für Teamleader kommen,4
919,TL,Rufen,Drohnenoperator für Team-Operator kommen,4
920,UGV-2,Anruf akzeptieren,hier Robot-Operator 2,4
921,TL,Check Frage,Verständigung war einwandfrei?,3
922,UGV-2,Bestätigen,ja ich verstehe Sie einwandfrei,7
923,UAV,Rufen,UAV-Operator,5
924,UAV,Informieren,wir sind einsatzbereit,2
925,UAV,Rufen,UAV operator für team leader,4
926,UAV,Anfordern,sollen wir starten mit der UAV und einen Überblick verschaffen?,3
927,TL,Auto-postiv,ja,7
928,TL,Anfordern,Drohnenoperator starten Sie und machen Sie sich einen Überblick über die Lage,1
929,TL,Task akzeptieren,über- machen,6
930,TL,Informieren,wir vermissen Personen und eine unklare Sache in der ganzen Area,2
931,UAV,Auto-postiv,okay,7
932,TL,Rufen,Bodenoperator für Teamleader kommen,4
933,UGV-2,Anruf akzeptieren,hier Bodenoperator 2,5
934,TL,Anfordern,starten Sie Ihre Roboter zur Erkundung der Area,1
935,TL,Antwort,ist eine unklare Sache wir wissen noch nicht genau was da passiert ist,2
936,TL,Informieren,Personen sind vermisst,2
937,UGV-2,Anfordern,starten die Suche mit Roboter 2 jetzt,7
938,TL,Rufen,Bodenoperator 1 für Teamleader kommen,4
939,UGV-1,Informieren,Bodenoperator 1 hat mitgehört und startet ebenfalls,5
940,UAV,Rufen,UAV-Operator an Teamleader,4
941,UAV,Informieren,ich habe ein Bild veröffentlicht,2
942,UAV,Informieren,was zeigte dass keine Rauchentwicklung gibt über der Anlage,2
943,TL,Anruf akzeptieren,ja Teamleader hat mitgehört,2
944,TL,Informieren,aber so leichte Rauchentwicklung ist jetzt zu sehen,2
945,TL,Anfordern,mehr Richtung Hochofen einmal schauen,1
946,UAV,Auto-postiv,okay,7
947,UGV-1,Rufen,Teamleader von Bodenoperator 1,4
948,TL,Anruf akzeptieren,Teamleader hört,5
949,UGV-1,Informieren,ich bin am Ende der ersten Rampe hab in beiden Richtungen geguckt,2
950,UGV-1,Bestätigen,in keiner Richtung was Auffälliges,2
951,UGV-1,Sonstiges,soll ich rechts oder links rum?,3
952,TL,Antwort,Position beibehalten,2
953,TL,Anfordern,wir versuchen weitere Informationen zu bekommen,2
954,TL,Rufen,Drohnenoperator für Teamleader kommen,4
955,UAV,Rufen,hier Drohnenoperator,5
956,TL,Situationsfrage,ist bei euch was zu sehen?,3
957,UAV,Informieren,wir mussten gerade die Applikation nochmal neu starten,2
958,UAV,Informieren,ich hab Bilder freigegeben wir versuchen sie gerade sichtbar zu machen,2
959,TL,Informieren,auf meinem Tablet ist nix zu sehen,2
960,UAV,Auto-postiv,okay,2
961,UAV,Task akzeptieren,ein paar Sekunden noch,2
962,TL,Rufen,Bodenoperator 1 für Teamleader kommen,4
963,UGV-1,Anruf akzeptieren,hier Bodenoperator 1,5
964,TL,Informieren,da ich eine leichte Rauchentwicklung auf der linken Seite sehe bitte den Weg zur linken Seite fortsetzen,1
965,UGV-1,Auto-postiv,nach links verstanden,7
966,TL,Rufen,Bodenoperator 1 für Teamleader kommen,4
967,UGV-1,Anruf akzeptieren,hier Bodenoperator 1,5
968,TL,Situationsfrage,fährst du die falsche Richtung?,3
969,UGV-1,Rufen,Teamleader für Bodenoperator 1,4
970,TL,Anruf akzeptieren,Teamleader hört,5
971,UGV-1,Informieren,voraus ist 'ne Treppe und da drüber relativ dichter Rauch zu sehen,2
972,UGV-1,Anfordern,soll ich ein Foto machen?,2
973,TL,Task akzeptieren,ja wenn's geht,7
974,TL,Anfordern,näher ranfahren zum Lokalisieren wo dieser Rauch entsteht und Foto machen und mir senden,1
975,TL,Informieren,aber ich kann immer noch nichts empfangen,2
976,UAV,Rufen,Teamleader für UAV bereit da?,4
977,TL,Anruf akzeptieren,Teamleader hört,5
978,TL,Informieren,die Bilder habe ich jetzt bekommen,2
979,UAV,Auto-postiv,alles klar,2
980,UAV,Informieren,man kann von oben sehen dass der Rauch aus dem Gebäude austritt,2
981,TL,Bestätigen,das habe ich auch gesehen,2
982,TL,Anbieten,ich schick da erst mal ein Trupp ein,2
983,UGV-2,Rufen,Teamleader für Robot-Operator 2,4
984,TL,Anruf akzeptieren,ja Teamleader hört,5
985,UGV-2,Informieren,wir haben leider Probleme mit dem Joystick und sitzen noch an der Startposition fest,2
986,UGV-2,Task akzeptieren,wir versuchen das jetzt zu beheben,2
987,TL,Anfordern,wenn ihr ja weiter einsatzbereit seid dann bitte melden,1
988,UGV-2,Anruf akzeptieren,machen wir,7
989,UGV-1,Rufen,Teamleader für Bodenoperator 1,4
990,UGV-1,Rufen,Teamleader für Bodenoperator 1,4
991,TL,Anruf akzeptieren,Teamleader hört,5
992,UGV-1,Informieren,vor mir ist ein grünes Fass und da obendrauf steht noch ein gelbes und ich habe Personen in dem Rauch gesehen,2
993,UGV-1,Informieren,der Rauch kommt von rechts,2
994,TL,Auto-postiv,verstanden,2
995,UGV-1,Anbieten,ich versuche von dem Fass ein gutes Foto zu machen,2
996,TL,Auto-postiv,okay,7
997,UGV-1,Rufen,Teamleader für Bodenroboter 1,4
998,TL,Anruf akzeptieren,Teamleader hört,5
999,UGV-1,Informieren,Bodenoperator 1 hat die Leckage gefunden an einem Stromerzeuger,2
1000,UGV-1,Informieren,Foto wurde gesendet,2
1001,UGV-1,Situationsfrage,hast du denn es empfangen?,3
1002,UGV-1,Rufen,Teamleader für Bodenoperator 1,4
1003,TL,Anruf akzeptieren,Teamleader hört,5
1004,UGV-1,Informieren,eine Person gesichtet,2
1005,UGV-1,Informieren,ist in der Nähe von dem Fass und von der Leckage wo der Rauch austritt,2
1006,UGV-1,Informieren,Foto habe ich dir geschickt,2
1007,TL,Anruf akzeptieren,versta- Mission,6
1008,TL,Rufen,Mission Operator für Teamleader kommen,4
1009,UAV,Rufen,Teamleader für UAV-Operator,4
1010,UAV,Rufen,Teamleader für UAV-Operator,4
1011,TL,Anruf akzeptieren,Teamleiter kann hören,5
1012,UAV,Informieren,wir haben ein Opfer gefunden liegt auf liegt auf der hinteren Seite des Hochofens angelehnt scheint bewusstlos zu sein,2
1013,TL,Task akzeptieren,ja ich schick mal ein Trupp hin,2
1014,UAV,Informieren,da ist keine Rauchentwicklung,2
1015,TL,Task akzeptieren,okay ich schick ein Trupp hin,2
1016,UGV-1,Rufen,Teamleader für Bodenoperator 1,4
1017,UGV-1,Auto-postiv,hab Sie nicht verstanden,2
1018,TL,Informieren,ich kann nur noch kommunizieren ich kann keine Bilder empfangen oder auch senden,2
1019,TL,Anruf akzeptieren,kommen,4
1020,UGV-2,Rufen,Teamleader für Bodenoperator 2 kommen,4
1021,TL,Anruf akzeptieren,Teamleader hört,5
1022,UGV-2,Informieren,wir haben das Problem behoben mit der Fernsteuerung und machen uns auf auf den Weg hinein,2
1023,TL,Informieren,wie gesagt ich kann keine Bilder empfangen,2
1024,UGV-1,Rufen,Teamleader für Bodenoperator 1,4
1025,TL,Anruf akzeptieren,Teamleader hört,5
1026,UGV-1,Informieren,eine Person gesichtet ist auf der Ebene auf der auch die Leckage ist hinter dem ersten Hochofen,2
1027,UGV-1,Informieren,halb liegend,2
1028,TL,Auto-postiv,verstanden,2
1029,TL,Rufen,UGV-1 von Teamleader Leiter,4
1030,TL,Rufen,UGV-1 von Teamleiter,4
1031,TL,Anruf akzeptieren,Nicht gerade,6
1032,TL,Rufen,UGV-2 von Teamleiter,4
1033,UGV-2,Anruf akzeptieren,UGV-2 hört,5
1034,TL,Informieren,Für Sie kurze Lageinformation es gab einen Unglücksfall in dem länglichen Graphecs Gebäude Luftbildaufnahmen sagen dass es unstabil und unsicher für Personen ist,2
1035,TL,Informieren,Unsere Aufgabe erstellen einer Karte des Gebäudes,2
1036,UGV-2,Auto-postiv,Erstellen einer Lage einer Karte des länglichen Gebäudes verstanden,2
1037,TL,Informieren,Für Sie konkreter Auftrag Sie begeben sich zur nördlichen Gebäudekante und bewegen sich dann westwärts,1
1038,TL,Bestätigen,Das ist so korrekt,2
1039,TL,Rufen,UGV-1 von Teamleiter,4
1040,UAV,Rufen,Teamleader von UAV operator kommen,4
1041,TL,Anruf akzeptieren,Teamleader,5
1042,UAV,Informieren,Ja die 3D Karte ist in Arbeit Dauer für das Modell circa halbe Stunde,2
1043,UAV,Anruf akzeptieren,in der Ar- in Arbeit,6
1044,UAV,Informieren,komme wieder wenn Aufgabe beendet,2
1045,TL,Auto-postiv,Das ist verstanden,7
1046,TL,Rufen,UGV-1 von Teamleiter,4
1047,UGV-1,Anruf akzeptieren,Hier ist UGV-1,5
1048,TL,Frage,Frage Standort,3
1049,UGV-2,Rufen,Teamleiter von UGV-2,4
1050,TL,Anruf akzeptieren,Teamleiter,5
1051,UGV-2,Informieren,Ich hab mal ein Foto gemacht,2
1052,UGV-2,Informieren,das ist die Wand meines Erachtens in nördlicher Feuerlöscheinrichtung und Lagerteile an den Wänden der Regalen,2
1053,TL,Informieren,Bis jetzt ist das Foto noch nicht angekommen,2
1054,TL,Check Frage,haben Sie auf Teilen geklickt?,3
1055,TL,Rufen,UGV-1 von Teamleiter,4
1056,UGV-1,Anruf akzeptieren,Hier ist UGV-1,5
1057,TL,Frage,Frage Ihr Standort immer noch mittig in der Halle oder inzwischen weiter in Richtung Westen,3
1058,UGV-1,Informieren,Ja ist mittig in der Halle,2
1059,UGV-1,Informieren,Ich habe hier eine Erkenntniss hier ist ein Feuerlöscher fehlt,2
1060,UGV-1,Anruf akzeptieren,Bild kommt,2
1061,TL,Auto-postiv,Das ist verstanden,7
1062,TL,Rufen,UGV-1 von Teamleiter,4
1063,UGV-1,Anruf akzeptieren,Hier ist UGV-1,5
1064,TL,Anfordern,Teilen Sie mir bitte auch mal ein Foto in ihrer Fahrtrichtung,1
1065,UGV-1,Anruf akzeptieren,Ja kommt,7
1066,TL,Rufen,UGV-2 von Teamleiter,4
1067,UGV-2,Sonstiges,Direction is correct,2
1068,TL,Rufen,UGV-1 von Teamleiter,4
1069,UGV-1,Anruf akzeptieren,Hier ist UGV-1,5
1070,TL,Situationsfrage,Haben Sie das Foto bereits geteilt?,3
1071,UGV-1,Bestätigen,Bild müsste da sein ja,7
1072,TL,Bestätigen,Ja hier ist mal nichts,2
1073,TL,Bestätigen,dann liegt's an mir,2
1074,UGV-1,Bestätigen,Dann mag es so sein,2
1075,TL,Rufen,UGV-2 von Teamleiter,4
1076,UGV-2,Anruf akzeptieren,Hier UGV-2,5
1077,TL,Frage,Haben Sie irgendwelche Anzeichen von Gebäudeschäden gefunden?,3
1078,UGV-2,Informieren,Bisschen rissige Säulen aber es wird halten Überdimensionierung,2
1079,TL,Auto-postiv,Ja das ist verstanden,2
1080,TL,Rufen,UGV-1 von Teamleiter,4
1081,TL,Rufen,UAV operator von Teamleiter,4
1082,UAV,Anruf akzeptieren,Hier UAV operator,5
1083,TL,Anfordern,Für sie Auftrag innerhalb des Gebäudes nach Hitze- und Rauchquellen suchen,1
1084,TL,Anfordern,Sollten dabei Verletzte oder chemische Substanzen gesichtet werden ebenfalls bitte melden und auf der Karte markieren,1
1085,UAV,Auto-postiv,Ja zur Erkundung von Rauchquellen Personen,7
1086,UAV,Informieren,Vor zur Information und Protektion oberhalb,2
1087,TL,Auto-postiv,Ja das ist verstanden,2
1088,TL,Informieren,Sie kommt sehr leise über Funk,2
1089,UAV,Auto-postiv,Ja,2
1090,TL,Anruf akzeptieren,Jetzt hör ich dich besser,2
1091,TL,Rufen,UGV-2 von Teamleiter,4
1092,UGV-2,Anruf akzeptieren,Hier UGV-2,5
1093,TL,Anfordern,Für Sie Auftrag Sie sind mit Messgeräten zur Gasmessung ausgestattet alle 15 Minuten die Gaskonzentration messen,1
1094,TL,Anfordern,Und desweiteren erkunden Sie die südliche Gebäudewand von ihrem Standort aus in westlicher Richtung,1
1095,UGV-2,Anfordern,Südliche Gebäudewand in westlicher Richtung kontrollieren,7
1096,UGV-2,Auto-postiv,Und alle 15 Minuten Gasdetektoren einschalten verstanden,7
1097,UGV-2,Informieren,Zur Info ich hab keinen Kontakt zu meinem Roboter,2
1098,TL,Auto-postiv,Ja das ist erst mal verstanden,2
1099,UGV-1,Anruf akzeptieren,Hier ist UGV-1,4
1100,TL,Anfordern,Sie suchen die nördliche Gebäudewand in westlicher Richtung ab,1
1101,TL,Antwort,In erster Linie suchen wir nach Verletzten,1
1102,TL,Anfordern,Aber auch Hitzequellen Rauchquellen oder chemische Substanzen melden und auf der Karte markieren,1
1103,UGV-1,Auto-postiv,Gebäude nördliche Wand in westlicher Richtung absuchen nach Hitzequellen und vermissten Personen verstanden,7
1104,TL,Antwort,Ja ebenfalls auf Chemikalien achten Trader Fluorid und Trader Oxin müssten auch irgendwo sein,1
1105,UGV-1,Auto-postiv,Ja das ist okay ist verstanden,7
1106,UAV,Rufen,Teamleader von UAV operator kommen,4
1107,TL,Anruf akzeptieren,Teamleiter,5
1108,UAV,Informieren,Hier ist ein recht guter Überblick,2
1109,UAV,Anruf akzeptieren,kommen,4
1110,UAV,Situationsfrage,von der Halle vielleicht hilft das zu,2
1111,TL,Sonstiges,Ich kann Sie nicht aufnehmen,2
1112,TL,Task akzeptieren,wiederholen,1
1113,UAV,Informieren,Ja ich hab dir ein Bild geteilt mit einem recht guten Überblick über die Gebäudestruktur und die Halle,2
1114,UAV,Task akzeptieren,vielleicht hilft es zu,2
1115,TL,Anbieten,Ich gucke mir erst mal an,2
1116,TL,Informieren,Verbindung ist aber immer noch sehr schlecht,2
1117,UAV,Rufen,Teamleader von UAV operator kommen,4
1118,TL,Anruf akzeptieren,Teamleader,5
1119,UAV,Informieren,Zur Information eine Person im oberen Gebäudeteil identifiziert und ein Chemikalienfass,2
1120,TL,Rufen,UAV operator von Teamleader,4
1121,UAV,Anruf akzeptieren,UAV operator,5
1122,TL,Situationsfrage,Habt ihr den Standort geteilt?,3
1123,UAV,Informieren,Ich hab weiter,2
1124,TL,Rufen,UAV operator von Teamleader,4
1125,UAV,Anruf akzeptieren,Hier UAV operator,5
1126,TL,Situationsfrage,Habt ihr neuen Status zum Standort der Person oder der Chemikalien?,3
1127,TL,Informieren,Ich krieg keinen Standort,2
1128,UAV,Informieren,Ja ich habe da ich keine GPS Daten,2
1129,UAV,Informieren,Muss ich kurz identifizieren wo ich bin ich versuche mich mal zu orientieren,2
1130,TL,Rufen,UGV-1 von Teamleader,4
1131,UGV-1,Informieren,Vom Startpunkt entfernt,2
1132,TL,Auto-postiv,Na ja das ist verstanden,2
1133,TL,Situationsfrage,Sehen Sie den Victim der durch die Drohne eingegeben wurde?,3
1134,TL,Informieren,Auf eurem TDS müsste mittig der Halle eine Person eingetragen worden sein,2
1135,UGV-1,Informieren,Viel zu weit entfernt,2
1136,TL,Auto-postiv,Ja das ist verstanden,2
1137,TL,Anfordern,Wenn Sie sich an der nördlichen Gebäudewand entlang nach Westen bewegen nehmen sie immer so den Victim als Ziel,1
1138,UGV-1,Informieren,Ja die nördliche Wand kann ich gar nicht erreichen,0
1139,UGV-1,Anruf akzeptieren,ich kann höchstens den UGV-2 folgen,2
1140,TL,Informieren,Der UGV-2 geht zur südlichen Gebäudewand das ist Ihnen bekannt,2
1141,UGV-1,Bestätigen,Das ist mir bekannt,2
1142,UGV-1,Informieren,Aber die nördliche Wand besaß kein Zugang,2
1143,UGV-1,Situationsfrage,Kannst du uns zur nördlichen Gebäudewand?,3
1144,TL,Auto-postiv,Das ist verstanden,2
1145,TL,Anfordern,dann folgen Sie den UGV-2,1
1146,UAV,Rufen,Teamleader von UAV operator kommen,4
1147,TL,Anruf akzeptieren,Teamleader,5
1148,UAV,Informieren,Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt,2
1149,UAV,Informieren,Weiter kann ich die Aufschrift des Chemikalienfasses nicht identifizieren,2
1150,UAV,Informieren,da die verletzte Person im Weg sitzt,2
1151,UAV,Informieren,Über dem Zustand der Person keine weiteren Erkenntnisse zu bekommen,2
1152,TL,Anruf akzeptieren,Sven kommen,4
1153,TL,Rufen,Lena für Benno kommen,4
1154,UGV-1,Anruf akzeptieren,ja der Operator 1 hört,5
1155,UGV-2,Anruf akzeptieren,der Operator 2 hört,5
1156,UAV,Anruf akzeptieren,UAV Operator hört,5
1157,TL,Informieren,ja folgende Lage: im Bereich zwischen den Hochöfen hat es eine Explosion gegeben,2
1158,TL,Informieren,Ursache ist unbekannt Rauchentwicklung vermutlich auch Feuer mehrere vermisste Personen Anzahl der vermissten Personen ist ebenfalls unbekannt,2
1159,TL,Informieren,unsere Aufgabe ist es halt Menschenrettung,2
1160,TL,Frage,Frage zunächst wer hat den Roboter mit dem Arm?,3
1161,UGV-2,Anruf akzeptieren,ja das ist der Sven Operator 2,2
1162,TL,Auto-postiv,ja hab ich verstanden,2
1163,TL,Informieren,Sven Tom und Lena zur Kenntnis: der Angriffstrupp geht unter Atemschutz im Bereich zwischen den Hochöfen vor und erkundet zunächst,2
1164,UGV-1,Auto-postiv,ja ist verstanden,2
1165,UGV-2,Auto-postiv,ja Operator 2 hat verstanden,2
1166,UAV,Auto-postiv,UAV Operator verstanden,2
1167,TL,Rufen,so UAV one über den Benno kommen,4
1168,UAV,Anruf akzeptieren,UAV Operator hört,5
1169,TL,Sonstiges,ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst,1
1170,TL,Anfordern,von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera,1
1171,UAV,Auto-postiv,ja das habe ich verstanden,7
1172,TL,Rufen,Operator 2 für Benno kommen,4
1173,UGV-2,Anruf akzeptieren,ja Operator 2 hört Benno,5
1174,TL,Situationsfrage,du hast den Roboter mit der Infrarot-Kamera ist das richtig?,3
1175,UGV-2,Informieren,negativ ich hab den Roboter mit dem Arm dort ist keine Infrarot-Kamera vorne,0
1176,TL,Auto-postiv,verstanden,2
1177,TL,Rufen,Operator 1 für Benno kommen,4
1178,UGV-1,Anruf akzeptieren,ja der Operator 1 hört,5
1179,TL,Informieren,Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung,1
1180,TL,Anfordern,dort mit dem Roboter hinfahren und mit der Menschensuche beginnen,1
1181,UGV-1,Anfordern,ja 50 meter geradeaus links rein und erkunde nach Menschen,7
1182,TL,Bestätigen,das ist korrekt,2
1183,TL,Rufen,Operator 1 für Benno,4
1184,UGV-1,Anruf akzeptieren,hier der Operator 1,5
1185,TL,Anfordern,mach mal bitte an den relevanten Punkten Fotos dass wir den hinterher nachvollziehen können,1
1186,UGV-1,Auto-postiv,ja ist verstanden ich mach hier Fotos,7
1187,UAV,Rufen,Benno für UAV Operator,4
1188,TL,Anruf akzeptieren,Augenblick,6
1189,UGV-1,Rufen,der Teamleader von Operator 1 kommen,4
1190,TL,Anruf akzeptieren,UAV 1 kommen,5
1191,UGV-1,Informieren,ja ich hab gerade ein Foto geschossen hier sind zwei Treppen auf der linken Seite allerdings kein Angriffstrupp,2
1192,UGV-1,Informieren,Rauchentwicklung weiter rechts,2
1193,UGV-1,Situationsfrage,Frage: zur Rauchentwicklung vorfahren?,3
1194,TL,Anruf akzeptieren,Augenblick,6
1195,TL,Rufen,Operator 1 für Teamleiter kommen,4
1196,UGV-1,Anruf akzeptieren,ja hier Operator 1,5
1197,TL,Informieren,der Angriffstrupp steht an der Rauchentwicklung,2
1198,TL,Anfordern,du sollst zur Rauchentwicklung fahren,1
1199,UGV-1,Task akzeptieren,ja ich fahr zur Rauchentwicklung,7
1200,TL,Rufen,UAV Operator für Teamleader kommen,4
1201,TL,Rufen,Lena für Benno?,4
1202,UAV,Anruf akzeptieren,Lena hört,5
1203,TL,Auto-postiv,du hattest mich angesprochen?,3
1204,UAV,Informieren,ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt,2
1205,TL,Auto-postiv,verstanden,2
1206,TL,Anfordern,Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast?,1
1207,UGV-1,Informieren,ja das erste Bild hab ich dir gerade schon gesch-,2
1208,TL,Anfordern,Operator 1 schickst du mir das nochmal rüber,1
1209,TL,Sonstiges,ich habe nichts gekriegt hier,2
1210,UGV-1,Anruf akzeptieren,ja ich schicke,7
1211,UGV-1,Rufen,Teamleader vom Operator 1,4
1212,TL,Anruf akzeptieren,ich höre,5
1213,UGV-1,Informieren,das Bild müsstest du schon haben,2
1214,TL,Auto-postiv,ja verstanden,2
1215,TL,Informieren,hab kein Bild,2
1216,UAV,Rufen,Teamleiter 1 für UAV Operator,4
1217,TL,Rufen,Operator 1 für Teamleader kommen,4
1218,UGV-1,Anruf akzeptieren,hier Operator 1,5
1219,TL,Frage,Frage: Standort Roboter?,3
1220,UGV-1,Informieren,ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum,2
1221,TL,Anfordern,die linke Treppe oder die rechte Treppe auf dein'm Foto?,3
1222,UGV-1,Informieren,die rechte Treppe wo die Rauchentwicklung zu sehen war,2
1223,TL,Bestätigen,das heißt du bist da rechts abgebogen in den Raum rein richtig?,3
1224,UGV-1,Bestätigen,das ist richtig,7
1225,UGV-1,Antwort,und da bin ich gerade am Anfangen,2
1226,TL,Informieren,ja - Auftrag war sich mit dem Angriffstrupp zu treffen zunächst,2
1227,UGV-1,Informieren,ja Angriffstrupp war nicht vor Ort,2
1228,TL,Bestätigen,ja dann möchte ich dort eine Meldung haben,1
1229,TL,Task akzeptieren,dann kümmere ich mich darum,2
1230,TL,Anruf akzeptieren,Augenblick,6
1231,TL,Rufen,UAV Operator für Teamleader kommen,4
1232,UAV,Anruf akzeptieren,UAV Operator hört,5
1233,TL,Anruf akzeptieren,du hattest mich gerufen?,3
1234,UAV,Anruf akzeptieren,ja,7
1235,UAV,Informieren,wir haben einmal den Akku gewechselt bis jetzt noch kein Rauch festzustellen aber wir haben eine Person gefunden,2
1236,UAV,Anbieten,ich schick dir jetzt das Foto,2
1237,TL,Auto-postiv,ja,7
1238,TL,Anruf akzeptieren,Könnten -,6
1239,TL,Anbieten,darauf kann ich sehen wo der Standort ist?,3
1240,UAV,Bestätigen,müsste zu erkennen sein,7
1241,UAV,Auto-postiv,ja verstanden,2
1242,UGV-1,Rufen,der Teamleadaer von Operator 1 kommen,4
1243,TL,Anruf akzeptieren,ich höre,5
