id,speakers,summary,tokens,tags
1135,UGV-1,TL : Habt ihr neuen Status zum Standort der Person oder der Chemikalien? UAV : Ja ich habe da ich keine GPS Daten. TL : Auf eurem TDS müsste mittig der Halle eine Person eingetragen worden sein.,Viel zu weit entfernt,2
1136,TL,TL : Habt ihr neuen Status zum Standort der Person oder der Chemikalien? UAV : Ja ich habe da ich keine GPS Daten. TL : Auf eurem TDS müsste mittig der Halle eine Person eingetragen worden sein.,Ja das ist verstanden,2
1137,TL,UAV : Ja ich habe da ich keine GPS Daten. UAV : Muss ich kurz identifizieren wo ich bin ich versuche mich mal zu orientieren. TL : Sehen Sie den Victim der durch die Drohne eingegeben wurde?,Wenn Sie sich an der nördlichen Gebäudewand entlang nach Westen bewegen nehmen sie immer so den Victim als Ziel,1
1138,UGV-1,UAV : Ja ich habe da ich keine GPS Daten. UAV : Muss ich kurz identifizieren wo ich bin ich versuche mich mal zu orientieren. TL : Sehen Sie den Victim der durch die Drohne eingegeben wurde?,Ja die nördliche Wand kann ich gar nicht erreichen,0
1139,UGV-1,UAV : Muss ich kurz identifizieren wo ich bin ich versuche mich mal zu orientieren. TL : Sehen Sie den Victim der durch die Drohne eingegeben wurde? UGV-1 : Ja die nördliche Wand kann ich gar nicht erreichen.,ich kann höchstens den UGV-2 folgen,2
1140,TL,TL : Sehen Sie den Victim der durch die Drohne eingegeben wurde? TL : Auf eurem TDS müsste mittig der Halle eine Person eingetragen worden sein. UGV-1 : ich kann höchstens den UGV-2 folgen.,Der UGV-2 geht zur südlichen Gebäudewand das ist Ihnen bekannt,2
1141,UGV-1,TL : Sehen Sie den Victim der durch die Drohne eingegeben wurde? UGV-1 : ich kann höchstens den UGV-2 folgen. TL : Der UGV-2 geht zur südlichen Gebäudewand das ist Ihnen bekannt.,Das ist mir bekannt,2
1142,UGV-1,TL : Sehen Sie den Victim der durch die Drohne eingegeben wurde? UGV-1 : ich kann höchstens den UGV-2 folgen. TL : Der UGV-2 geht zur südlichen Gebäudewand das ist Ihnen bekannt.,Aber die nördliche Wand besaß kein Zugang,2
1143,UGV-1,TL : Sehen Sie den Victim der durch die Drohne eingegeben wurde? TL : Wenn Sie sich an der nördlichen Gebäudewand entlang nach Westen bewegen nehmen sie immer so den Victim als Ziel. UGV-1 : Aber die nördliche Wand besaß kein Zugang.,Kannst du uns zur nördlichen Gebäudewand?,3
1144,TL,TL : Auf eurem TDS müsste mittig der Halle eine Person eingetragen worden sein. TL : Der UGV-2 geht zur südlichen Gebäudewand das ist Ihnen bekannt. UGV-1 : Aber die nördliche Wand besaß kein Zugang.,Das ist verstanden,2
1145,TL,TL : Wenn Sie sich an der nördlichen Gebäudewand entlang nach Westen bewegen nehmen sie immer so den Victim als Ziel. UGV-1 : Ja die nördliche Wand kann ich gar nicht erreichen. UGV-1 : ich kann höchstens den UGV-2 folgen.,dann folgen Sie den UGV-2,1
1146,UAV,TL : Wenn Sie sich an der nördlichen Gebäudewand entlang nach Westen bewegen nehmen sie immer so den Victim als Ziel. UGV-1 : Ja die nördliche Wand kann ich gar nicht erreichen. UGV-1 : ich kann höchstens den UGV-2 folgen.,Teamleader von UAV operator kommen,4
1147,TL,TL : Wenn Sie sich an der nördlichen Gebäudewand entlang nach Westen bewegen nehmen sie immer so den Victim als Ziel. UGV-1 : Ja die nördliche Wand kann ich gar nicht erreichen. UAV : Teamleader von UAV operator kommen.,Teamleader,5
1148,UAV,UGV-1 : Ja die nördliche Wand kann ich gar nicht erreichen. UGV-1 : Kannst du uns zur nördlichen Gebäudewand? UAV : Teamleader von UAV operator kommen.,Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt,2
1149,UAV,UGV-1 : ich kann höchstens den UGV-2 folgen. TL : Der UGV-2 geht zur südlichen Gebäudewand das ist Ihnen bekannt. UAV : Teamleader von UAV operator kommen.,Weiter kann ich die Aufschrift des Chemikalienfasses nicht identifizieren,2
1150,UAV,TL : Der UGV-2 geht zur südlichen Gebäudewand das ist Ihnen bekannt. UGV-1 : Aber die nördliche Wand besaß kein Zugang. UAV : Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt.,da die verletzte Person im Weg sitzt,2
1151,UAV,UGV-1 : Aber die nördliche Wand besaß kein Zugang. UAV : Teamleader von UAV operator kommen. UAV : Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt.,Über dem Zustand der Person keine weiteren Erkenntnisse zu bekommen,2
1152,TL,UGV-1 : Aber die nördliche Wand besaß kein Zugang. UAV : Teamleader von UAV operator kommen. UAV : Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt.,Sven kommen,4
1153,TL,UGV-1 : Kannst du uns zur nördlichen Gebäudewand? UAV : Teamleader von UAV operator kommen. UAV : Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt.,Lena für Benno kommen,4
1154,UGV-1,UAV : Teamleader von UAV operator kommen. UAV : Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt. UAV : Über dem Zustand der Person keine weiteren Erkenntnisse zu bekommen.,ja der Operator 1 hört,5
1155,UGV-2,UAV : Teamleader von UAV operator kommen. UAV : Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt. UAV : Über dem Zustand der Person keine weiteren Erkenntnisse zu bekommen.,der Operator 2 hört,5
1156,UAV,UAV : Teamleader von UAV operator kommen. UAV : Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt. UAV : Über dem Zustand der Person keine weiteren Erkenntnisse zu bekommen.,UAV Operator hört,5
1157,TL,UAV : Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt. UAV : Weiter kann ich die Aufschrift des Chemikalienfasses nicht identifizieren. UAV : Über dem Zustand der Person keine weiteren Erkenntnisse zu bekommen.,ja folgende Lage: im Bereich zwischen den Hochöfen hat es eine Explosion gegeben,2
1158,TL,UAV : Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt. UAV : Weiter kann ich die Aufschrift des Chemikalienfasses nicht identifizieren. UAV : Über dem Zustand der Person keine weiteren Erkenntnisse zu bekommen.,Ursache ist unbekannt Rauchentwicklung vermutlich auch Feuer mehrere vermisste Personen Anzahl der vermissten Personen ist ebenfalls unbekannt,2
1159,TL,UAV : Weiter kann ich die Aufschrift des Chemikalienfasses nicht identifizieren. UAV : da die verletzte Person im Weg sitzt. UAV : Über dem Zustand der Person keine weiteren Erkenntnisse zu bekommen.,unsere Aufgabe ist es halt Menschenrettung,2
1160,TL,UAV : da die verletzte Person im Weg sitzt. UAV : Über dem Zustand der Person keine weiteren Erkenntnisse zu bekommen. TL : ja folgende Lage: im Bereich zwischen den Hochöfen hat es eine Explosion gegeben.,Frage zunächst wer hat den Roboter mit dem Arm?,3
1161,UGV-2,UAV : Über dem Zustand der Person keine weiteren Erkenntnisse zu bekommen. TL : Ursache ist unbekannt Rauchentwicklung vermutlich auch Feuer mehrere vermisste Personen Anzahl der vermissten Personen ist ebenfalls unbekannt. TL : unsere Aufgabe ist es halt Menschenrettung.,ja das ist der Sven Operator 2,2
1162,TL,TL : ja folgende Lage: im Bereich zwischen den Hochöfen hat es eine Explosion gegeben. TL : Ursache ist unbekannt Rauchentwicklung vermutlich auch Feuer mehrere vermisste Personen Anzahl der vermissten Personen ist ebenfalls unbekannt. TL : unsere Aufgabe ist es halt Menschenrettung.,ja hab ich verstanden,2
1163,TL,TL : ja folgende Lage: im Bereich zwischen den Hochöfen hat es eine Explosion gegeben. TL : Ursache ist unbekannt Rauchentwicklung vermutlich auch Feuer mehrere vermisste Personen Anzahl der vermissten Personen ist ebenfalls unbekannt. TL : unsere Aufgabe ist es halt Menschenrettung.,Sven Tom und Lena zur Kenntnis: der Angriffstrupp geht unter Atemschutz im Bereich zwischen den Hochöfen vor und erkundet zunächst,2
1164,UGV-1,TL : ja folgende Lage: im Bereich zwischen den Hochöfen hat es eine Explosion gegeben. TL : Ursache ist unbekannt Rauchentwicklung vermutlich auch Feuer mehrere vermisste Personen Anzahl der vermissten Personen ist ebenfalls unbekannt. TL : Frage zunächst wer hat den Roboter mit dem Arm?,ja ist verstanden,2
1165,UGV-2,TL : ja folgende Lage: im Bereich zwischen den Hochöfen hat es eine Explosion gegeben. TL : Ursache ist unbekannt Rauchentwicklung vermutlich auch Feuer mehrere vermisste Personen Anzahl der vermissten Personen ist ebenfalls unbekannt. TL : Frage zunächst wer hat den Roboter mit dem Arm?,ja Operator 2 hat verstanden,2
1166,UAV,TL : ja folgende Lage: im Bereich zwischen den Hochöfen hat es eine Explosion gegeben. TL : Ursache ist unbekannt Rauchentwicklung vermutlich auch Feuer mehrere vermisste Personen Anzahl der vermissten Personen ist ebenfalls unbekannt. TL : Frage zunächst wer hat den Roboter mit dem Arm?,UAV Operator verstanden,2
1167,TL,TL : ja folgende Lage: im Bereich zwischen den Hochöfen hat es eine Explosion gegeben. TL : Ursache ist unbekannt Rauchentwicklung vermutlich auch Feuer mehrere vermisste Personen Anzahl der vermissten Personen ist ebenfalls unbekannt. TL : Frage zunächst wer hat den Roboter mit dem Arm?,so UAV one über den Benno kommen,4
1168,UAV,TL : Ursache ist unbekannt Rauchentwicklung vermutlich auch Feuer mehrere vermisste Personen Anzahl der vermissten Personen ist ebenfalls unbekannt. TL : unsere Aufgabe ist es halt Menschenrettung. TL : Frage zunächst wer hat den Roboter mit dem Arm?,UAV Operator hört,5
1169,TL,TL : unsere Aufgabe ist es halt Menschenrettung. TL : Frage zunächst wer hat den Roboter mit dem Arm? TL : Sven Tom und Lena zur Kenntnis: der Angriffstrupp geht unter Atemschutz im Bereich zwischen den Hochöfen vor und erkundet zunächst.,ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst,1
1170,TL,TL : Frage zunächst wer hat den Roboter mit dem Arm? TL : Sven Tom und Lena zur Kenntnis: der Angriffstrupp geht unter Atemschutz im Bereich zwischen den Hochöfen vor und erkundet zunächst. TL : ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst.,von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera,1
1171,UAV,TL : Sven Tom und Lena zur Kenntnis: der Angriffstrupp geht unter Atemschutz im Bereich zwischen den Hochöfen vor und erkundet zunächst. TL : ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst. TL : von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera.,ja das habe ich verstanden,7
1172,TL,TL : Sven Tom und Lena zur Kenntnis: der Angriffstrupp geht unter Atemschutz im Bereich zwischen den Hochöfen vor und erkundet zunächst. TL : ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst. TL : von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera.,Operator 2 für Benno kommen,4
1173,UGV-2,TL : Sven Tom und Lena zur Kenntnis: der Angriffstrupp geht unter Atemschutz im Bereich zwischen den Hochöfen vor und erkundet zunächst. TL : ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst. TL : von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera.,ja Operator 2 hört Benno,5
1174,TL,TL : ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst. TL : von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera.,du hast den Roboter mit der Infrarot-Kamera ist das richtig?,3
1175,UGV-2,TL : ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst. TL : von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera. TL : du hast den Roboter mit der Infrarot-Kamera ist das richtig?,negativ ich hab den Roboter mit dem Arm dort ist keine Infrarot-Kamera vorne,0
1176,TL,TL : ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst. TL : von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera. TL : du hast den Roboter mit der Infrarot-Kamera ist das richtig?,verstanden,2
1177,TL,TL : ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst. TL : von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera. TL : du hast den Roboter mit der Infrarot-Kamera ist das richtig?,Operator 1 für Benno kommen,4
1178,UGV-1,TL : ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst. TL : von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera. TL : du hast den Roboter mit der Infrarot-Kamera ist das richtig?,ja der Operator 1 hört,5
1179,TL,TL : ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst. TL : von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera. TL : du hast den Roboter mit der Infrarot-Kamera ist das richtig?,Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung,1
1180,TL,TL : von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera. TL : du hast den Roboter mit der Infrarot-Kamera ist das richtig? TL : Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung.,dort mit dem Roboter hinfahren und mit der Menschensuche beginnen,1
1181,UGV-1,TL : du hast den Roboter mit der Infrarot-Kamera ist das richtig? UGV-2 : negativ ich hab den Roboter mit dem Arm dort ist keine Infrarot-Kamera vorne. TL : dort mit dem Roboter hinfahren und mit der Menschensuche beginnen.,ja 50 meter geradeaus links rein und erkunde nach Menschen,7
1182,TL,TL : du hast den Roboter mit der Infrarot-Kamera ist das richtig? TL : dort mit dem Roboter hinfahren und mit der Menschensuche beginnen. UGV-1 : ja 50 meter geradeaus links rein und erkunde nach Menschen.,das ist korrekt,2
1183,TL,TL : du hast den Roboter mit der Infrarot-Kamera ist das richtig? TL : dort mit dem Roboter hinfahren und mit der Menschensuche beginnen. UGV-1 : ja 50 meter geradeaus links rein und erkunde nach Menschen.,Operator 1 für Benno,4
1184,UGV-1,TL : du hast den Roboter mit der Infrarot-Kamera ist das richtig? TL : dort mit dem Roboter hinfahren und mit der Menschensuche beginnen. UGV-1 : ja 50 meter geradeaus links rein und erkunde nach Menschen.,hier der Operator 1,5
1185,TL,UGV-2 : negativ ich hab den Roboter mit dem Arm dort ist keine Infrarot-Kamera vorne. TL : Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung. TL : dort mit dem Roboter hinfahren und mit der Menschensuche beginnen.,mach mal bitte an den relevanten Punkten Fotos dass wir den hinterher nachvollziehen können,1
1186,UGV-1,TL : Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung. TL : dort mit dem Roboter hinfahren und mit der Menschensuche beginnen. UGV-1 : ja 50 meter geradeaus links rein und erkunde nach Menschen.,ja ist verstanden ich mach hier Fotos,7
1187,UAV,TL : Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung. TL : dort mit dem Roboter hinfahren und mit der Menschensuche beginnen. UGV-1 : ja 50 meter geradeaus links rein und erkunde nach Menschen.,Benno für UAV Operator,4
1188,TL,TL : Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung. TL : dort mit dem Roboter hinfahren und mit der Menschensuche beginnen. UGV-1 : ja 50 meter geradeaus links rein und erkunde nach Menschen.,Augenblick,6
1189,UGV-1,TL : Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung. TL : dort mit dem Roboter hinfahren und mit der Menschensuche beginnen. UGV-1 : ja 50 meter geradeaus links rein und erkunde nach Menschen.,der Teamleader von Operator 1 kommen,4
1190,TL,TL : dort mit dem Roboter hinfahren und mit der Menschensuche beginnen. UGV-1 : ja 50 meter geradeaus links rein und erkunde nach Menschen. UGV-1 : der Teamleader von Operator 1 kommen.,UAV 1 kommen,5
1191,UGV-1,UGV-1 : ja 50 meter geradeaus links rein und erkunde nach Menschen. UGV-1 : ja ist verstanden ich mach hier Fotos. UGV-1 : der Teamleader von Operator 1 kommen.,ja ich hab gerade ein Foto geschossen hier sind zwei Treppen auf der linken Seite allerdings kein Angriffstrupp,2
1192,UGV-1,TL : mach mal bitte an den relevanten Punkten Fotos dass wir den hinterher nachvollziehen können. UGV-1 : ja ist verstanden ich mach hier Fotos. UGV-1 : der Teamleader von Operator 1 kommen.,Rauchentwicklung weiter rechts,2
1193,UGV-1,TL : mach mal bitte an den relevanten Punkten Fotos dass wir den hinterher nachvollziehen können. UGV-1 : ja ist verstanden ich mach hier Fotos. UGV-1 : der Teamleader von Operator 1 kommen.,Frage: zur Rauchentwicklung vorfahren?,3
1194,TL,TL : mach mal bitte an den relevanten Punkten Fotos dass wir den hinterher nachvollziehen können. UGV-1 : ja ist verstanden ich mach hier Fotos. UGV-1 : Frage: zur Rauchentwicklung vorfahren?,Augenblick,6
1195,TL,TL : mach mal bitte an den relevanten Punkten Fotos dass wir den hinterher nachvollziehen können. UGV-1 : ja ist verstanden ich mach hier Fotos. UGV-1 : Frage: zur Rauchentwicklung vorfahren?,Operator 1 für Teamleiter kommen,4
1196,UGV-1,UGV-1 : ja ist verstanden ich mach hier Fotos. UGV-1 : ja ich hab gerade ein Foto geschossen hier sind zwei Treppen auf der linken Seite allerdings kein Angriffstrupp. UGV-1 : Frage: zur Rauchentwicklung vorfahren?,ja hier Operator 1,5
1197,TL,UGV-1 : der Teamleader von Operator 1 kommen. UGV-1 : ja ich hab gerade ein Foto geschossen hier sind zwei Treppen auf der linken Seite allerdings kein Angriffstrupp. UGV-1 : Frage: zur Rauchentwicklung vorfahren?,der Angriffstrupp steht an der Rauchentwicklung,2
1198,TL,UGV-1 : der Teamleader von Operator 1 kommen. UGV-1 : Frage: zur Rauchentwicklung vorfahren? TL : der Angriffstrupp steht an der Rauchentwicklung.,du sollst zur Rauchentwicklung fahren,1
1199,UGV-1,UGV-1 : der Teamleader von Operator 1 kommen. UGV-1 : Frage: zur Rauchentwicklung vorfahren? TL : du sollst zur Rauchentwicklung fahren.,ja ich fahr zur Rauchentwicklung,7
1200,TL,UGV-1 : ja ich hab gerade ein Foto geschossen hier sind zwei Treppen auf der linken Seite allerdings kein Angriffstrupp. UGV-1 : Frage: zur Rauchentwicklung vorfahren? TL : du sollst zur Rauchentwicklung fahren.,UAV Operator für Teamleader kommen,4
1201,TL,UGV-1 : ja ich hab gerade ein Foto geschossen hier sind zwei Treppen auf der linken Seite allerdings kein Angriffstrupp. UGV-1 : Frage: zur Rauchentwicklung vorfahren? TL : du sollst zur Rauchentwicklung fahren.,Lena für Benno?,4
1202,UAV,UGV-1 : Frage: zur Rauchentwicklung vorfahren? TL : der Angriffstrupp steht an der Rauchentwicklung. TL : du sollst zur Rauchentwicklung fahren.,Lena hört,5
1203,TL,UGV-1 : Frage: zur Rauchentwicklung vorfahren? TL : der Angriffstrupp steht an der Rauchentwicklung. TL : du sollst zur Rauchentwicklung fahren.,du hattest mich angesprochen?,3
1204,UAV,TL : der Angriffstrupp steht an der Rauchentwicklung. TL : du sollst zur Rauchentwicklung fahren. UGV-1 : ja ich fahr zur Rauchentwicklung.,ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt,2
1205,TL,TL : der Angriffstrupp steht an der Rauchentwicklung. TL : du sollst zur Rauchentwicklung fahren. UAV : ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt.,verstanden,2
1206,TL,TL : der Angriffstrupp steht an der Rauchentwicklung. TL : du sollst zur Rauchentwicklung fahren. UAV : ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt.,Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast?,1
1207,UGV-1,TL : der Angriffstrupp steht an der Rauchentwicklung. TL : du sollst zur Rauchentwicklung fahren. UAV : ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt.,ja das erste Bild hab ich dir gerade schon gesch-,2
1208,TL,TL : du sollst zur Rauchentwicklung fahren. UGV-1 : ja ich fahr zur Rauchentwicklung. UAV : ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt.,Operator 1 schickst du mir das nochmal rüber,1
1209,TL,UGV-1 : ja ich fahr zur Rauchentwicklung. UAV : ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt. UGV-1 : ja das erste Bild hab ich dir gerade schon gesch- TL : Operator 1 schickst du mir das nochmal rüber.,ich habe nichts gekriegt hier,2
1210,UGV-1,UAV : ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt. TL : Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast? UGV-1 : ja das erste Bild hab ich dir gerade schon gesch- TL : Operator 1 schickst du mir das nochmal rüber.,ja ich schicke,7
1211,UGV-1,UAV : ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt. TL : Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast? UGV-1 : ja das erste Bild hab ich dir gerade schon gesch- TL : Operator 1 schickst du mir das nochmal rüber.,Teamleader vom Operator 1,4
1212,TL,UAV : ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt. TL : Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast? UGV-1 : ja das erste Bild hab ich dir gerade schon gesch- TL : Operator 1 schickst du mir das nochmal rüber.,ich höre,5
1213,UGV-1,UAV : ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt. TL : Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast? UGV-1 : ja das erste Bild hab ich dir gerade schon gesch- TL : Operator 1 schickst du mir das nochmal rüber.,das Bild müsstest du schon haben,2
1214,TL,UAV : ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt. TL : Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast? UGV-1 : das Bild müsstest du schon haben.,ja verstanden,2
1215,TL,TL : Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast? UGV-1 : ja das erste Bild hab ich dir gerade schon gesch- TL : Operator 1 schickst du mir das nochmal rüber. UGV-1 : das Bild müsstest du schon haben.,hab kein Bild,2
1216,UAV,TL : Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast? UGV-1 : ja das erste Bild hab ich dir gerade schon gesch- TL : Operator 1 schickst du mir das nochmal rüber. UGV-1 : das Bild müsstest du schon haben.,Teamleiter 1 für UAV Operator,4
1217,TL,UGV-1 : ja das erste Bild hab ich dir gerade schon gesch- TL : Operator 1 schickst du mir das nochmal rüber. UGV-1 : das Bild müsstest du schon haben.,Operator 1 für Teamleader kommen,4
1218,UGV-1,TL : Operator 1 schickst du mir das nochmal rüber. UGV-1 : das Bild müsstest du schon haben.,hier Operator 1,5
1219,TL,UGV-1 : das Bild müsstest du schon haben.,Frage: Standort Roboter?,3
1220,UGV-1,UGV-1 : das Bild müsstest du schon haben.,ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum,2
1221,TL,UGV-1 : das Bild müsstest du schon haben. UGV-1 : ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum.,die linke Treppe oder die rechte Treppe auf dein'm Foto?,3
1222,UGV-1,UGV-1 : das Bild müsstest du schon haben. UGV-1 : ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum. TL : die linke Treppe oder die rechte Treppe auf dein'm Foto?,die rechte Treppe wo die Rauchentwicklung zu sehen war,2
1223,TL,UGV-1 : das Bild müsstest du schon haben. UGV-1 : ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum. TL : die linke Treppe oder die rechte Treppe auf dein'm Foto?,das heißt du bist da rechts abgebogen in den Raum rein richtig?,3
1224,UGV-1,UGV-1 : ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum. TL : die linke Treppe oder die rechte Treppe auf dein'm Foto? TL : das heißt du bist da rechts abgebogen in den Raum rein richtig?,das ist richtig,7
1225,UGV-1,UGV-1 : ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum. TL : die linke Treppe oder die rechte Treppe auf dein'm Foto? TL : das heißt du bist da rechts abgebogen in den Raum rein richtig?,und da bin ich gerade am Anfangen,2
1226,TL,UGV-1 : ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum. TL : die linke Treppe oder die rechte Treppe auf dein'm Foto? UGV-1 : die rechte Treppe wo die Rauchentwicklung zu sehen war.,ja - Auftrag war sich mit dem Angriffstrupp zu treffen zunächst,2
1227,UGV-1,UGV-1 : ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum. UGV-1 : die rechte Treppe wo die Rauchentwicklung zu sehen war. TL : ja - Auftrag war sich mit dem Angriffstrupp zu treffen zunächst.,ja Angriffstrupp war nicht vor Ort,2
1228,TL,UGV-1 : ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum. UGV-1 : die rechte Treppe wo die Rauchentwicklung zu sehen war. UGV-1 : ja Angriffstrupp war nicht vor Ort.,ja dann möchte ich dort eine Meldung haben,1
1229,TL,UGV-1 : ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum. UGV-1 : die rechte Treppe wo die Rauchentwicklung zu sehen war. TL : ja - Auftrag war sich mit dem Angriffstrupp zu treffen zunächst.,dann kümmere ich mich darum,2
1230,TL,UGV-1 : ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum. UGV-1 : die rechte Treppe wo die Rauchentwicklung zu sehen war. TL : ja - Auftrag war sich mit dem Angriffstrupp zu treffen zunächst.,Augenblick,6
1231,TL,TL : die linke Treppe oder die rechte Treppe auf dein'm Foto? UGV-1 : und da bin ich gerade am Anfangen. TL : ja - Auftrag war sich mit dem Angriffstrupp zu treffen zunächst.,UAV Operator für Teamleader kommen,4
1232,UAV,UGV-1 : die rechte Treppe wo die Rauchentwicklung zu sehen war. TL : ja - Auftrag war sich mit dem Angriffstrupp zu treffen zunächst. TL : ja dann möchte ich dort eine Meldung haben.,UAV Operator hört,5
