id,speakers,tokens,tags
1060,UGV-1,Bild kommt,2
1061,TL,Das ist verstanden,7
1062,TL,UGV-1 von Teamleiter,4
1063,UGV-1,Hier ist UGV-1,5
1064,TL,Teilen Sie mir bitte auch mal ein Foto in ihrer Fahrtrichtung,1
1065,UGV-1,Ja kommt,7
1066,TL,UGV-2 von Teamleiter,4
1067,UGV-2,Direction is correct,2
1068,TL,UGV-1 von Teamleiter,4
1069,UGV-1,Hier ist UGV-1,5
1070,TL,Haben Sie das Foto bereits geteilt?,3
1071,UGV-1,Bild müsste da sein ja,7
1072,TL,Ja hier ist mal nichts,2
1073,TL,dann liegt's an mir,2
1074,UGV-1,Dann mag es so sein,2
1075,TL,UGV-2 von Teamleiter,4
1076,UGV-2,Hier UGV-2,5
1077,TL,Haben Sie irgendwelche Anzeichen von Gebäudeschäden gefunden?,3
1078,UGV-2,Bisschen rissige Säulen aber es wird halten Überdimensionierung,2
1079,TL,Ja das ist verstanden,2
1080,TL,UGV-1 von Teamleiter,4
1081,TL,UAV operator von Teamleiter,4
1082,UAV,Hier UAV operator,5
1083,TL,Für sie Auftrag innerhalb des Gebäudes nach Hitze- und Rauchquellen suchen,1
1084,TL,Sollten dabei Verletzte oder chemische Substanzen gesichtet werden ebenfalls bitte melden und auf der Karte markieren,1
1085,UAV,Ja zur Erkundung von Rauchquellen Personen,7
1086,UAV,Vor zur Information und Protektion oberhalb,2
1087,TL,Ja das ist verstanden,2
1088,TL,Sie kommt sehr leise über Funk,2
1089,UAV,Ja,2
1090,TL,Jetzt hör ich dich besser,2
1091,TL,UGV-2 von Teamleiter,4
1092,UGV-2,Hier UGV-2,5
1093,TL,Für Sie Auftrag Sie sind mit Messgeräten zur Gasmessung ausgestattet alle 15 Minuten die Gaskonzentration messen,1
1094,TL,Und desweiteren erkunden Sie die südliche Gebäudewand von ihrem Standort aus in westlicher Richtung,1
1095,UGV-2,Südliche Gebäudewand in westlicher Richtung kontrollieren,7
1096,UGV-2,Und alle 15 Minuten Gasdetektoren einschalten verstanden,7
1097,UGV-2,Zur Info ich hab keinen Kontakt zu meinem Roboter,2
1098,TL,Ja das ist erst mal verstanden,2
1099,UGV-1,Hier ist UGV-1,4
1100,TL,Sie suchen die nördliche Gebäudewand in westlicher Richtung ab,1
1101,TL,In erster Linie suchen wir nach Verletzten,1
1102,TL,Aber auch Hitzequellen Rauchquellen oder chemische Substanzen melden und auf der Karte markieren,1
1103,UGV-1,Gebäude nördliche Wand in westlicher Richtung absuchen nach Hitzequellen und vermissten Personen verstanden,7
1104,TL,Ja ebenfalls auf Chemikalien achten Trader Fluorid und Trader Oxin müssten auch irgendwo sein,1
1105,UGV-1,Ja das ist okay ist verstanden,7
1106,UAV,Teamleader von UAV operator kommen,4
1107,TL,Teamleiter,5
1108,UAV,Hier ist ein recht guter Überblick,2
1109,UAV,kommen,4
1110,UAV,von der Halle vielleicht hilft das zu,2
1111,TL,Ich kann Sie nicht aufnehmen,2
1112,TL,wiederholen,1
1113,UAV,Ja ich hab dir ein Bild geteilt mit einem recht guten Überblick über die Gebäudestruktur und die Halle,2
1114,UAV,vielleicht hilft es zu,2
1115,TL,Ich gucke mir erst mal an,2
1116,TL,Verbindung ist aber immer noch sehr schlecht,2
1117,UAV,Teamleader von UAV operator kommen,4
1118,TL,Teamleader,5
1119,UAV,Zur Information eine Person im oberen Gebäudeteil identifiziert und ein Chemikalienfass,2
1120,TL,UAV operator von Teamleader,4
1121,UAV,UAV operator,5
1122,TL,Habt ihr den Standort geteilt?,3
1123,UAV,Ich hab weiter,2
1124,TL,UAV operator von Teamleader,4
1125,UAV,Hier UAV operator,5
1126,TL,Habt ihr neuen Status zum Standort der Person oder der Chemikalien?,3
1127,TL,Ich krieg keinen Standort,2
1128,UAV,Ja ich habe da ich keine GPS Daten,2
1129,UAV,Muss ich kurz identifizieren wo ich bin ich versuche mich mal zu orientieren,2
1130,TL,UGV-1 von Teamleader,4
1131,UGV-1,Vom Startpunkt entfernt,2
1132,TL,Na ja das ist verstanden,2
1133,TL,Sehen Sie den Victim der durch die Drohne eingegeben wurde?,3
1134,TL,Auf eurem TDS müsste mittig der Halle eine Person eingetragen worden sein,2
1135,UGV-1,Viel zu weit entfernt,2
1136,TL,Ja das ist verstanden,2
1137,TL,Wenn Sie sich an der nördlichen Gebäudewand entlang nach Westen bewegen nehmen sie immer so den Victim als Ziel,1
1138,UGV-1,Ja die nördliche Wand kann ich gar nicht erreichen,0
1139,UGV-1,ich kann höchstens den UGV-2 folgen,2
1140,TL,Der UGV-2 geht zur südlichen Gebäudewand das ist Ihnen bekannt,2
1141,UGV-1,Das ist mir bekannt,2
1142,UGV-1,Aber die nördliche Wand besaß kein Zugang,2
1143,UGV-1,Kannst du uns zur nördlichen Gebäudewand?,3
1144,TL,Das ist verstanden,2
1145,TL,dann folgen Sie den UGV-2,1
1146,UAV,Teamleader von UAV operator kommen,4
1147,TL,Teamleader,5
1148,UAV,Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt,2
1149,UAV,Weiter kann ich die Aufschrift des Chemikalienfasses nicht identifizieren,2
1150,UAV,da die verletzte Person im Weg sitzt,2
1151,UAV,Über dem Zustand der Person keine weiteren Erkenntnisse zu bekommen,2
1152,TL,Sven kommen,4
1153,TL,Lena für Benno kommen,4
1154,UGV-1,ja der Operator 1 hört,5
1155,UGV-2,der Operator 2 hört,5
1156,UAV,UAV Operator hört,5
1157,TL,ja folgende Lage: im Bereich zwischen den Hochöfen hat es eine Explosion gegeben,2
1158,TL,Ursache ist unbekannt Rauchentwicklung vermutlich auch Feuer mehrere vermisste Personen Anzahl der vermissten Personen ist ebenfalls unbekannt,2
1159,TL,unsere Aufgabe ist es halt Menschenrettung,2
1160,TL,Frage zunächst wer hat den Roboter mit dem Arm?,3
1161,UGV-2,ja das ist der Sven Operator 2,2
1162,TL,ja hab ich verstanden,2
1163,TL,Sven Tom und Lena zur Kenntnis: der Angriffstrupp geht unter Atemschutz im Bereich zwischen den Hochöfen vor und erkundet zunächst,2
1164,UGV-1,ja ist verstanden,2
1165,UGV-2,ja Operator 2 hat verstanden,2
1166,UAV,UAV Operator verstanden,2
1167,TL,so UAV one über den Benno kommen,4
1168,UAV,UAV Operator hört,5
1169,TL,ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst,1
1170,TL,von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera,1
1171,UAV,ja das habe ich verstanden,7
1172,TL,Operator 2 für Benno kommen,4
1173,UGV-2,ja Operator 2 hört Benno,5
1174,TL,du hast den Roboter mit der Infrarot-Kamera ist das richtig?,3
1175,UGV-2,negativ ich hab den Roboter mit dem Arm dort ist keine Infrarot-Kamera vorne,0
1176,TL,verstanden,2
1177,TL,Operator 1 für Benno kommen,4
1178,UGV-1,ja der Operator 1 hört,5
1179,TL,Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung,1
1180,TL,dort mit dem Roboter hinfahren und mit der Menschensuche beginnen,1
1181,UGV-1,ja 50 meter geradeaus links rein und erkunde nach Menschen,7
1182,TL,das ist korrekt,2
1183,TL,Operator 1 für Benno,4
1184,UGV-1,hier der Operator 1,5
1185,TL,mach mal bitte an den relevanten Punkten Fotos dass wir den hinterher nachvollziehen können,1
1186,UGV-1,ja ist verstanden ich mach hier Fotos,7
1187,UAV,Benno für UAV Operator,4
1188,TL,Augenblick,6
1189,UGV-1,der Teamleader von Operator 1 kommen,4
1190,TL,UAV 1 kommen,5
1191,UGV-1,ja ich hab gerade ein Foto geschossen hier sind zwei Treppen auf der linken Seite allerdings kein Angriffstrupp,2
1192,UGV-1,Rauchentwicklung weiter rechts,2
1193,UGV-1,Frage: zur Rauchentwicklung vorfahren?,3
1194,TL,Augenblick,6
1195,TL,Operator 1 für Teamleiter kommen,4
1196,UGV-1,ja hier Operator 1,5
1197,TL,der Angriffstrupp steht an der Rauchentwicklung,2
1198,TL,du sollst zur Rauchentwicklung fahren,1
1199,UGV-1,ja ich fahr zur Rauchentwicklung,7
1200,TL,UAV Operator für Teamleader kommen,4
1201,TL,Lena für Benno?,4
1202,UAV,Lena hört,5
1203,TL,du hattest mich angesprochen?,3
1204,UAV,ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt,2
1205,TL,verstanden,2
1206,TL,Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast?,1
1207,UGV-1,ja das erste Bild hab ich dir gerade schon gesch-,2
1208,TL,Operator 1 schickst du mir das nochmal rüber,1
1209,TL,ich habe nichts gekriegt hier,2
1210,UGV-1,ja ich schicke,7
1211,UGV-1,Teamleader vom Operator 1,4
1212,TL,ich höre,5
1213,UGV-1,das Bild müsstest du schon haben,2
1214,TL,ja verstanden,2
1215,TL,hab kein Bild,2
1216,UAV,Teamleiter 1 für UAV Operator,4
1217,TL,Operator 1 für Teamleader kommen,4
1218,UGV-1,hier Operator 1,5
1219,TL,Frage: Standort Roboter?,3
1220,UGV-1,ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum,2
1221,TL,die linke Treppe oder die rechte Treppe auf dein'm Foto?,3
1222,UGV-1,die rechte Treppe wo die Rauchentwicklung zu sehen war,2
1223,TL,das heißt du bist da rechts abgebogen in den Raum rein richtig?,3
1224,UGV-1,das ist richtig,7
1225,UGV-1,und da bin ich gerade am Anfangen,2
1226,TL,ja - Auftrag war sich mit dem Angriffstrupp zu treffen zunächst,2
1227,UGV-1,ja Angriffstrupp war nicht vor Ort,2
1228,TL,ja dann möchte ich dort eine Meldung haben,1
1229,TL,dann kümmere ich mich darum,2
1230,TL,Augenblick,6
1231,TL,UAV Operator für Teamleader kommen,4
1232,UAV,UAV Operator hört,5
1233,TL,du hattest mich gerufen?,3
1234,UAV,ja,7
1235,UAV,wir haben einmal den Akku gewechselt bis jetzt noch kein Rauch festzustellen aber wir haben eine Person gefunden,2
1236,UAV,ich schick dir jetzt das Foto,2
1237,TL,ja,7
1238,TL,Könnten -,6
1239,TL,darauf kann ich sehen wo der Standort ist?,3
1240,UAV,müsste zu erkennen sein,7
1241,UAV,ja verstanden,2
1242,UGV-1,der Teamleadaer von Operator 1 kommen,4
1243,TL,ich höre,5
1244,UGV-1,also - ich bin jetzt oben im ersten Raum auch hier ist der Angriffstrupp nicht vorzufinden,2
1245,UGV-1,Frage: Raum weiter erkunden?,3
1246,TL,ja richtig,7
1247,TL,der Angriffstrupp musste raus,2
1248,TL,der hatt' keine Luft mehr den Raum weiter erkunden,2
1249,UGV-1,ja ist verstanden,2
1250,TL,Lena für Benno,4
1251,UAV,Lena hört,5
1252,TL,Lena jetzt sag mir mal genau den Standort dieser Person,3
1253,UAV,ich schick dir eben noch zwei andere Fotos da müsstest du es besser erkennen,2
1254,UAV,das ist könnte aber eventuell eine andere Person sein,2
1255,TL,ja habe verstanden,2
1256,UAV,Benno für Lena,4
1257,TL,ich höre,5
1258,UAV,ich habe jetzt bei der zweiten Person auch eventuell Rauch gefunden,2
1259,TL,du hast mir jetzt ein weiteres Foto geschickt ist das richtig?,3
1260,UAV,ich habe drei geschickt,7
1261,UAV,Benno für Lena,4
1262,TL,Operator 2 für Teamleader kommen,4
1263,UGV-2,Operator 2 hört,5
1264,TL,folgenden Auftrag: den gleichen Weg nehmen wie Operator 1,1
1265,TL,Auftrag ist: Erkundung nach weiteren Zugangsmöglichkeiten nach Verletzten,1
1266,TL,schau auch mal wie weit die Rauchentwicklung da ausgedehnt ist,1
1267,UGV-2,ja ist soweit verstanden,7
1268,UGV-1,der Teamleader von Operator 1,4
1269,TL,ich höre,5
1270,UGV-1,im ersten großen Raum eine Person gefunden,2
1271,TL,prima,2
1272,TL,ich schick dir den Angriffstrupp,2
1273,TL,Operator 1 der Angriffstrupp ist unterwegs,2
1274,TL,rechte Treppe hoch rechts in den Raum rein korrekt?,3
1275,UGV-1,ja richtig so,7
1276,TL,verstanden,2
1277,UAV,Benno für Lena,4
1278,TL,höre,5
1279,UAV,ich habe Rauch gefunden und weitere Personen,2
1280,UAV,schi-,6
1281,UAV,ich versuch dir nochmal die Bilder zu schicken,2
1282,TL,ja verstanden,2
1283,TL,bin - ich – k-,6
1284,TL,kann da noch nichts lokalisieren auch anhand der großen Karte wo genau diese Personen sich befinden,2
1285,UAV,ja das habe ich verstanden,2
1286,TL,Operator 1 für Teamleader kommen,4
1287,UGV-1,ja ich höre dich,5
1288,TL,hast du von der Person ein Foto gemacht und mir geschickt?,3
1289,TL,Fo-,6
1290,UGV-1,ja Foto gemacht habe ich,7
1291,UGV-1,ich weiß bloß nicht ob es angekommen ist,2
1292,TL,ist das der Mensch der da an einem Pfeiler hockt?,3
1293,UGV-1,ganz genau,7
1294,TL,phantastisch,2
1295,UAV,Benno für Lena,4
1296,TL,ich höre Lena,5
1297,UAV,also - die Person müsste hinter dem großen Hochofen auf dem freien Weg sein,2
1298,UAV,der Akku ist jetzt leer,2
1299,UAV,wir müssen jetzt auch landen und warten am Boden auf weitere Anweisungen,2
1300,TL,ja verstanden,2
1301,TL,ist das welcher Hochofen ist es der rechte oder der linke von uns aus gesehen?,3
1302,UAV,der eine ist nur das Gerüst und der andere ist voll ich meine den vollen,2
1303,TL,ist das der der von dir weiter entfernt ist?,3
1304,UAV,ja das ist richtig,7
1305,TL,hab ich verstanden,2
1306,TL,neuer Auftrag ist: Akku tauschen damit die Drohne wieder fliegen kann,1
1307,UAV,ja das habe ich verstanden,7
1308,UGV-1,der Teamleader von Operator 1 kommen,4
1309,TL,ich höre,5
1310,UGV-1,ja Frage: soll ich nach weiteren Personen suchen?,3
1311,TL,ja klar,7
1312,TL,einen Augenblick ich melde mich gleich,6
1313,TL,erst muss der Angriffstrupp da gewesen sein,2
1314,UGV-1,ja verstanden,2
1315,UAV,Benno für Lena,4
1316,UAV,wir sind jetzt wieder startklar,2
1317,TL,Lena sag nochmal die letzte Meldung hab ich nicht mitgekriegt,3
1318,UAV,wir sind jetzt wieder startklar,2
1319,UAV,neuer Akku ist bereit,2
1320,TL,ja,2
1321,TL,ich melde mich sofort,2
1322,TL,Operator 1 für Teamleader kommen,4
1323,UGV-1,hier Operator 1,5
1324,TL,der Raum ist vollständig abgesucht?,3
1325,UGV-1,bis zum Opfer auf jeden Fall,7
1326,TL,gibt es noch mehr Raum der noch nicht abgesucht ist?,3
1327,UGV-1,ja,7
1328,UGV-1,der Bereich hinter dem Pfeiler also hinter dem Teil wo die Person war,2
1329,TL,jo,2
1330,TL,dann bitte weiter suchen,1
1331,UGV-1,ja ist verstanden,7
1332,TL,Operator 2 für Teamleader kommen,4
1333,TL,Operator 2 für Teamleader kommen,4
1334,UGV-2,ja hört,5
1335,TL,wo bist du jetzt? Standort,3
1336,TL,mach mal Fotos auch,1
1337,TL,wenn du was findest dass man den Weg nachvollziehen kann,2
1338,UGV-2,ja mach ich,7
1339,UGV-2,ich bin gerade dabei einfach schon mal Richtung den Weg zu kommen wo der Operator 1 lang gefahren ist,2
1340,TL,ja,2
1341,TL,dein Auftrag ist an diesem Raum vorbei wo der Operator 1 drin ist und da ab da weiter zu suchen nach Menschen,1
1342,UGV-2,ja,7
1343,UGV-2,und das Fass hast du gesagt da soll ich dran vorbei fahren ne?,3
1344,TL,ja korrekt,7
1345,TL,das Fass das steht dort irgendwo das war nur zur Orientierung,2
1346,TL,aber mach mir mal ein Foto von dem Fass,1
1347,UGV-2,ja mache ich,7
1348,TL,Lena für Benno kommen,4
1349,UAV,Lena hört,5
1350,TL,Lena du hast alle Fotos jetzt von einer Stelle aus gemacht,2
1351,TL,ich möchte mal dass du mit der Drohne jetzt weiter fliegst zum anderen Hochofen quasi von der anderen Seite der Einsatzstelle aus Fotos machst,1
1352,TL,mit der - mit der Drohne,6
1353,TL,und guckst ob du von dort aus noch Personen erkennen kannst,1
1354,UAV,das habe ich verstanden,7
1355,TL,Operator 2 wie ist dein Standort?,3
1356,UGV-2,wir haben gerade ein kleines technisches Problem,2
1357,UGV-2,ich melde mich gleich,2
1358,TL,verstanden,2
1359,UAV,Benno für Lena,4
1360,UAV,Benno für Lena,4
1361,TL,ich höre,5
1362,UAV,ich hab dir gerade ein Übersichtsbild geschickt da erkennt man den gefüllten - also den großen Hochofen sag mir wo du hinmöchtest,2
1363,TL,dass du dieses Bild nochmal machst aber reinzoomst,1
1364,UAV,wo soll ich reinzoomen in den - eher in den Hochofen oder genau in die Mitte?,3
1365,TL,das gleiche Bild was du jetzt gemacht hast da in die Mitte reinzoomen da wo die Rauchentwicklung ist,2
1366,UAV,das habe ich verstanden,2
1367,TL,Operator 1 und 2 für Teamleader kommen,4
1368,UGV-1,hier Operator 1,5
1369,TL,wer von euch beiden hat 'n Foto gemacht auf der Treppe?,3
1370,UGV-1,ja das habe ich gemacht,2
1371,UAV,Benno für Lena,4
1372,TL,ich höre,5
1373,UAV,ich hab dir nochmal ein Bild ein herangezoomtes Bild geschickt wo der Qualm besser zu sehen ist aber keine Personen gefunden von dieser Position aus,2
1374,TL,verstanden,2
1375,TL,Lena dann flieg mal mit deinem Fluggerät da weiter ja weiter nach rechts würde ich jetzt erst mal sagen was immer auch rechts sein mag so wie du jetzt guckst quasi in deiner Position in Richtung deiner Position,1
1376,TL,Lena für Benno?,4
1377,UAV,Lena hört,5
1378,TL,flieg mal mit der Drohne genau in die andere Richtung,1
1379,TL,ich seh dich auf dem Bildschirm,2
1380,UAV,wir müssen gerade den Akku tauschen,2
1381,UAV,ich schick dir jetzt noch mal ein Bild von weit oben rechts auf dem Bild was nicht mehr zu sehen ist sind diese drei klein' Hochöfen und links ist der ganz große gefüllte Hochofen,2
1382,UAV,genau in der Mitte davon also bei den grünen da kommt der Qualm her,2
1383,TL,verstanden,2
1384,UGV-1,der Teamleader von Operator 1 kommen,4
1385,TL,höre,5
1386,UGV-1,ja ich hab den ersten Raum weitestgehend abgesucht gerade so ein bisschen technische Schwierigkeiten,2
1387,UGV-1,geht's einmal die Treppe noch weiter hoch oder soll ich in der Ebene bleiben und nach weiteren Räumen suchen?,3
1388,TL,ich melde mich sofort,2
1389,UGV-1,ja verstanden,2
1390,UAV,Benno für Lena,4
1391,TL,ich höre,5
1392,UAV,kannst du jetzt nochmal genau beschreiben wo ich hinfliegen sollte?,3
1393,TL,ja ich melde mich gleich,2
1394,TL,Operator 1 für Teamleader kommen,4
1395,TL,Operator 1 für Teamleader kommen,4
1396,TL,Operator 2 für Teamleader kommen,4
1397,UGV-2,hört,5
1398,TL,was machen die technischen Probleme wieder einsatzbereit?,3
1399,UGV-2,negativ,0
1400,TL,verstanden,2
1401,UGV-2,wir stehen in der Nähe des grünen Fasses,2
1402,UGV-2,also ist das grüne Fass kann ich durch die Kamera sehen aber ich kann ihn nicht verfahren,2
1403,UGV-2,das Radar scheint irgendwie nicht richtig zu funktionieren,2
1404,UGV-2,nicht ge- richtig,6
1405,TL,kannst du dich denn noch bewegen?,3
1406,UGV-2,ne ich kann hier nichts machen,0
1407,UGV-2,es sind ja mit drei vier Technikern die ganze Zeit am PC zugange,2
1408,TL,alles klar,2
1409,TL,Foto machen geht auch nicht?,3
1410,UGV-2,ne,0
1411,UGV-2,ich mache hier gar nichts gerade am Rechner,2
1412,TL,alles klar,2
1413,UGV-2,Teamleader von Operator 2 kommen,4
1414,TL,ich höre,5
1415,UGV-2,ja ich gucke mal dass ich dir jetzt ein Foto schicke,2
1416,UGV-2,scheint weiter zu gehen bei uns,2
1417,TL,ja verstanden,2
1418,TL,Lena für Benno,4
1419,UAV,Lena hört,5
1420,TL,wenn du jetzt startest den Hochofen der von euch weiter weg ist - von dort aus hätte ich gerne Bilder aus der Mitte zwischen den Hochöfen,1
1421,UAV,ja das habe ich verstanden,7
1422,TL,immer noch Menschen suchen ne,1
1423,UAV,ja das habe ich auch verstanden,7
1424,UGV-2,ja Benno für den Operator 2 kommen,4
1425,TL,ich höre,5
1426,UGV-2,ja hier steht wieder alles,2
1427,TL,wo ist denn deine Position jetzt?,3
1428,UGV-2,immer noch in der Nähe des grünen Fasses,2
1429,UGV-2,aber hier geht im Moment nichts,2
1430,TL,alles klar,2
1431,TL,Lena für Benno,4
1432,UAV,Lena hört,5
1433,TL,zwischen den Hochöfen da steht irgendwo ein grünes Fass und da kommt die Rauchentwicklung her,2
1434,TL,ich hab im Moment keinen Roboter einsatzbereit,2
1435,TL,kannst du gucken ob du dieses Fass findest und entsprechende Bilder machst?,1
1436,UAV,ja das habe ich verstanden,7
1437,UAV,das hab ich auch verstanden,7
1438,UGV-2,so der Benno für Operator 2 kommen,4
1439,TL,ich höre,5
1440,UGV-2,ja es geht weiter,2
1441,UGV-2,ich habe dir ein Foto geschickt von dem grünen Fass und wo ich mich jetzt gerade befinde,2
1442,TL,ja bleib mal da wo du jetzt bist,1
1443,TL,dieses grüne Fass - da ist der Rauch korrekt?,3
1444,UGV-2,ja ich weiß,7
1445,UGV-2,ich seh den Rauch ab und zu,2
1446,UGV-2,soll ich in die Richtung fahren?,3
1447,TL,fahr zu dem grünen Fass,7
1448,TL,und erkunde um dieses grüne Fass herum warum es da raucht,1
1449,UGV-2,ja verstanden,7
1450,TL,Operator 2 für Teamleader,4
1451,UGV-2,melde mich sofort,6
1452,TL,so der Benno an alle,4
1453,TL,Übungsende,2
1454,TL,die Roboter sollen alle zurückfahren und dann treffen wir uns hier,1
1455,TL,UGV 1 von Teamleader,4
1456,UGV-1,hier UGV 1 kommen,5
1457,TL,du bist soweit?,3
1458,UGV-1,ja natürlich,7
1459,TL,UGV 2 von Teamleader,4
1460,UGV-2,hier UGV-,6
1461,UGV-2,hier UGV 2,5
1462,TL,ihr seid auch soweit?,3
1463,UGV-2,sind bereit ja,7
1464,TL,verstanden,2
1465,TL,UAV 1 von Teamleader,4
1466,UAV,hier UAV 1 kommen,5
1467,TL,ihr seid auch soweit?,3
1468,UAV,bereit wenn Sie es sind,7
1469,TL,verstanden,2
1470,TL,der Einsatzauftrag kommt wunderbar,2
1471,MC,Teamleader von Mission Commander kommen,4
1472,TL,Teamleader hört,5
1473,MC,wie besprochen Gebiet erkunden rund um die beiden Hochöfen,1
1474,MC,vermutlich Explosion oder irgendwas mit Chemikalien,2
1475,MC,wir wissen nicht ob es eine Leckage ist oder was Anderes,2
1476,MC,Rauchentwicklung ist schon gemeldet worden,2
1477,MC,möglicherweise sind dann auch Personen vermisst,2
1478,MC,also Personensuche voran- bringen,1
1479,MC,und dann eventuell noch nach der Schadenursache gucken,1
1480,TL,das ist verstanden,7
1481,TL,an UGV 1 UGV 2 UAV,4
1482,TL,kurze Lagedarstellung,2
1483,TL,es gab ein'n Zwischenfall zwischen zwei Hochöfen,2
1484,TL,dort werden eine oder mehrere Personen vermisst,2
1485,TL,eine Rauchentwicklung ist zu erkennen,2
1486,TL,und da ist das Einsatzgebiet,2
1487,TL,Auftrag für die UAV 1,1
1488,TL,hören Sie mit?,4
1489,UAV,UAV hört,5
1490,TL,genau,2
1491,TL,Auftrag für die UAV 1,1
1492,TL,ich brauch' einmal ein Lagebild von oben wo das komplette Objekt abgebildet wird und dann speziell ein Foto zwischen den beiden Türen,1
1493,TL,verstanden?,3
1494,UAV,ein Lagebild von oben komplette Lage und ein Lagebild zwischen den beiden Türen verstanden,7
1495,TL,das ist korrekt,2
1496,TL,bitte auch per Infrarot bitte,1
1497,TL,auf Menschen und sonstige Ereignisse scannen,1
1498,UAV,ja beide Bilder in Infrarot ebenfalls,7
1499,TL,korrekt,2
1500,TL,UGV 1 von Teamleader?,4
1501,UGV-1,UGV 1 kommen,5
1502,TL,ja Ihr Auftrag ist in das Objekt reinzufahren und den Schadensort zu scannen zu bebildern,1
1503,UGV-1,ja verstanden,7
1504,UGV-1,ich fahr rein,2
1505,TL,UGV 2 von Teamleader?,4
1506,UGV-2,UGV 2 kommen,5
1507,TL,ebenfalls Ihr Auftrag vom Westen her Richtung Osten die Einsatzstelle anfahren mir Ihrem UGV und Kontrolle ob Menschen zu erkennen sind beziehungsweise ob irgend ein Schadensereignis zu erkennen ist,1
1508,UGV-2,verstanden,7
1509,TL,Mission Commander von Teamleader,4
1510,MC,kommen Sie,5
1511,TL,ja,6
1512,TL,erste Maßnahmen eingeleitet wir erstellen ein Lagebild mit der Drohne von oben und per Infrarot,2
1513,TL,des Weiteren die zwei UGVs eingeteilt die fahren vor zum Schadensereignis zwecks Menschensuche und weitere Lagedarstellung,2
1514,MC,verstanden,2
1515,MC,Teamleader von Mission Commander kommen,4
1516,TL,Teamleader hört,5
1517,MC,welcher Roboter ist jetzt für die Verletztensuche eingeteilt?,3
1518,TL,UGV 1 und UGV 2,2
1519,TL,die suchen Verletzte ein- feststellen,6
1520,TL,die suchen Verletzte feststellen was da genau los ist,2
1521,MC,ja verstanden,2
1522,MC,Teamleader von Mission Commander kommen,4
1523,TL,Teamleader hört,5
1524,MC,Bild von der UAV eingetroffen?,3
1525,TL,ja das erste Bild,7
1526,UGV-1,Teamleader von UGV 1,4
1527,TL,Teamleader hört,5
1528,UGV-1,Rauchentwicklung erste Treppe nach oben,2
1529,UGV-1,ich schick dir mal ein Screenshot,2
1530,TL,korrekt,7
1531,TL,und wenn weitere Erkenntnis das auch melden,1
1532,MC,Teamleader von Mission Commander kommen,4
1533,TL,Teamleader hört,5
1534,MC,aus dem ersten Foto von der UAV mit der Übersicht ist da so ein heller Fleck zu sehen,2
1535,MC,vielleicht kann man nochmal dran zoomen,1
1536,MC,ich weiß nicht was das ist - ob das jetzt eine Person ist oder - das ist,6
1537,MC,ich weiß nicht was das ist - ob das jetzt eine Person ist das ist unten am unteren Rand da ist ein [<unintelligible>],2
1538,MC,kommen,4
1539,UGV-1,Teamleader von UGV 1 kommen,4
1540,TL,Teamleader hört,5
1541,UGV-1,ja ich werde jetzt die Treppe mal hochfahren und weiter erkunden oben,2
1542,TL,ja,7
1543,TL,ja verstanden,2
1544,TL,UGV 1 ist das die erste Etage oder so ne - nur fünf Stufen?,3
1545,UGV-1,ja zwölf Metallstufen,2
1546,TL,verstanden,2
1547,TL,mach mal ein Foto davon,1
1548,UGV-2,Teamleader für UGV 2 kommen,4
1549,TL,Teamleader hört,5
1550,UGV-2,ich bin jetzt auch in der Nähe vom Hochofen angekommen ich sehe Rauchentwicklung und auch einen umgestürtzten blauen Kanister,2
1551,UGV-2,ich schicke Ihnen gleich mal ein Screenshot drüber,2
1552,TL,ja genau,7
1553,TL,bitte darauf achten eine Bezeichnung auf dem Kanister zu erkennen,1
1554,UGV-2,verstanden,7
1555,MC,Teamleader von Mission Commander kommen,4
1556,TL,Teamleader hört,5
1557,MC,liegen irgend welche Erkenntnisse nochmal vor inwiefern die Strukturen noch stabil genug sind um Eingriffstrupp reinzuschicken?,3
1558,TL,UGV 1 UGV 2,4
1559,TL,könnt ihr abschätzen ob das Gebäude noch Tragfähigkeit hat?,3
1560,UGV-2,Teamleader für UGV2 kommen,4
1561,UGV-2,Teamleader für UGV2 kommen,4
1562,TL,Teamleader hört,5
1563,UGV-2,ich habe jetzt d- den Kanister gefunden es handelt sich um Otalin Pera-cet zirka 20 bis 30 liter Fassungsvermögen es scheint auch eine Leckage da zu sein,2
1564,UGV-2,d- den Kanister,6
1565,UGV-2,darüber hinaus habe ich auch - sehe ich auch Teile v-vom Gebäude hier liegen also es - ist - die strukturelle Integrität könnte gefährdet sein,2
1566,UGV-2,darüber hinaus habe ich auch - sehe ich auch,6
1567,UGV-2,v-vom Gebäude,6
1568,UGV-2,also es - ist - die strukturelle Integrität könnte gefährdet sein,6
1569,TL,ja verstanden,2
1570,TL,Mission Commander von Teamleader,4
